Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
20,57174,30078,761,110,1,17.57,12,0.53,3,3,1,0,1,1,1,0
56,146161,87813,465,92,2,8.23,12,0.4,2,0,2,1,0,4,0,0
24,23940,73933,457,72,4,19.56,24,0.9,1,1,2,1,1,1,1,0
63,81636,214226,575,113,4,8.09,48,0.15,3,3,0,0,1,2,1,0
41,63198,187063,469,109,2,9.13,48,0.55,3,3,0,0,1,3,1,0
51,53987,72429,819,106,1,24.48,48,0.5,3,1,1,0,0,4,0,0
27,64922,36835,592,101,1,18.99,36,0.54,3,3,1,1,1,2,1,0
24,72594,19674,801,36,3,2.09,24,0.67,2,3,2,0,0,3,1,0
22,45529,195294,368,74,4,24.89,24,0.59,2,3,2,1,1,4,0,1
25,63841,57710,552,45,2,8.71,48,0.74,0,3,1,1,1,3,1,1
32,103343,213409,646,17,2,7.86,48,0.27,0,3,2,0,0,2,0,0
27,65791,115163,615,42,1,23.18,36,0.57,1,0,1,0,1,0,1,0
48,79187,34362,619,45,2,11.06,60,0.89,2,2,0,0,0,2,1,0
53,86094,91156,441,11,2,6.17,36,0.79,1,1,0,1,0,0,1,0
55,118245,59859,632,66,1,9.43,48,0.59,1,0,0,1,1,3,1,0
30,38575,232062,824,90,1,22.2,36,0.77,0,0,2,1,0,2,0,1
31,82255,191528,639,10,1,10.74,48,0.46,2,3,2,1,0,4,0,0
40,53706,129648,796,74,4,8.76,60,0.85,0,0,0,0,0,1,1,0
32,143050,28099,779,84,4,3.13,12,0.2,2,1,2,1,1,4,1,0
22,74527,95215,677,79,1,11.32,12,0.48,3,3,0,1,1,0,1,0
45,145064,147297,369,118,4,11.74,60,0.56,1,2,1,1,0,3,1,0
46,46266,216750,445,54,3,24.29,60,0.15,2,0,1,0,0,3,0,0
18,108968,49135,673,56,1,21.54,48,0.5,0,3,1,0,0,2,0,0
63,51664,51520,576,9,2,4.91,12,0.39,2,0,0,0,0,0,0,0
50,140344,158742,797,91,2,4.69,60,0.15,1,0,0,0,0,3,0,0
23,91312,242896,747,100,1,20.75,60,0.75,3,2,1,0,0,4,1,0
20,143441,237709,563,72,3,20.52,12,0.13,0,2,1,0,0,0,1,0
32,38822,117224,824,99,3,13.01,60,0.43,0,1,1,1,0,3,1,0
58,117193,230427,389,32,2,14.43,36,0.37,3,1,0,1,0,3,1,0
48,95877,30915,808,92,4,20.24,60,0.36,1,1,0,0,1,2,1,0
35,63654,93841,748,31,1,6.86,12,0.27,3,0,1,0,1,0,1,0
63,124783,113017,689,20,2,8.99,60,0.15,0,3,2,1,0,3,0,0
67,131946,9957,448,114,2,19.6,36,0.51,2,0,0,0,0,1,1,0
27,66794,151437,339,14,1,7.82,60,0.28,1,2,0,0,0,1,1,1
47,98067,129230,498,14,3,14.28,24,0.62,0,2,0,0,0,3,0,0
35,90696,202849,461,44,3,19.83,36,0.15,3,3,1,0,0,2,0,1
67,53311,134330,770,37,4,12.26,48,0.54,2,2,0,0,0,4,0,0
30,59244,36651,410,94,4,10.6,60,0.67,2,2,0,0,0,3,1,0
39,143540,229562,366,108,2,15.2,24,0.28,2,2,1,1,0,0,1,0
22,116919,40625,392,73,4,11.47,36,0.13,0,2,0,0,0,3,1,0
66,89745,5665,327,2,3,8.1,48,0.52,3,2,1,1,1,1,1,0
62,148056,233806,462,86,4,21.33,48,0.77,0,0,2,0,0,4,0,0
41,28532,193474,532,98,1,18.14,24,0.51,3,1,0,1,0,2,1,1
48,125081,160657,782,86,1,18.22,48,0.3,3,0,0,1,1,3,0,0
50,108602,133922,370,74,1,16.94,48,0.62,3,3,0,0,0,2,0,0
26,58850,231402,775,36,2,11.46,48,0.25,0,3,1,1,1,1,1,1
38,95150,114774,559,28,3,22.61,12,0.57,2,3,0,0,0,1,1,0
68,107828,164322,341,32,2,23.58,48,0.9,0,3,1,1,1,0,0,0
65,83719,215270,426,62,3,16.66,60,0.31,1,2,1,0,0,0,1,0
50,88476,113970,667,21,4,21.9,12,0.82,2,3,2,0,0,3,0,0
39,120980,93703,415,103,3,20.87,60,0.12,0,0,0,1,0,2,1,0
42,34152,65021,504,2,2,6.64,36,0.88,1,0,0,1,0,4,1,0
58,142597,105021,695,101,3,7.11,60,0.76,2,2,0,1,1,2,1,0
60,53193,18348,488,30,4,4.25,24,0.2,2,3,2,0,0,0,0,0
46,44019,31939,481,61,4,7.03,60,0.21,3,0,1,0,1,1,0,0
43,79078,81915,830,1,2,5.27,48,0.59,1,3,0,0,0,2,0,1
20,116951,73436,808,57,1,3.22,24,0.84,2,3,1,1,0,1,1,0
35,62392,120541,337,15,1,20.23,48,0.75,1,1,0,0,0,0,1,1
47,47763,12527,733,5,1,12.07,24,0.53,1,3,1,0,1,4,0,0
42,75965,193624,417,37,2,6.55,12,0.13,1,3,1,0,1,2,1,0
44,38389,210587,347,97,4,20.87,12,0.19,2,3,1,0,0,3,1,0
55,97621,80183,327,93,3,18.81,48,0.2,3,3,2,0,0,0,1,0
32,88969,28081,652,60,2,2.37,24,0.75,2,2,2,0,0,0,1,0
49,32657,103346,315,24,4,14.42,12,0.27,2,0,0,1,1,4,0,0
65,82968,75114,770,28,3,15.15,48,0.37,3,0,2,0,1,3,1,0
66,85352,160941,613,73,1,6.92,48,0.38,3,3,1,1,1,3,0,0
67,84382,184394,818,51,4,14.91,48,0.53,3,1,2,0,1,1,0,0
29,105399,125715,426,31,2,4.47,48,0.56,1,0,1,1,0,2,1,0
59,137187,162794,773,16,1,3.82,60,0.42,3,2,1,1,1,3,0,0
45,64396,212899,550,80,1,21.89,12,0.53,1,2,0,0,0,0,1,0
59,119291,40320,755,92,4,20.93,36,0.34,2,0,1,1,1,4,1,0
60,80938,28324,574,1,1,8.02,60,0.18,2,2,1,1,0,1,1,0
22,132875,207916,319,9,2,21.45,60,0.88,2,2,1,0,1,3,0,0
56,148696,138850,812,117,1,3.72,24,0.61,1,0,1,1,1,1,0,0
52,98893,168891,781,52,1,21.74,48,0.3,0,2,2,0,1,0,1,0
28,54564,152019,568,18,1,17.09,12,0.73,1,2,1,1,0,2,1,0
47,22656,105381,657,81,1,12.5,36,0.86,2,2,0,0,1,1,0,0
24,119323,115902,729,113,2,14.15,24,0.69,3,0,2,0,1,0,0,0
29,105597,198210,681,16,3,22.36,60,0.3,0,3,1,0,0,1,0,0
37,140261,150933,535,109,1,8.62,60,0.54,3,2,1,1,1,1,1,0
37,80614,158469,665,98,2,16.77,48,0.37,3,2,1,1,1,0,1,0
57,89299,70253,748,14,3,2.63,36,0.25,2,2,0,1,1,4,0,0
60,72091,223887,300,64,3,15.68,60,0.7,0,2,2,1,0,4,0,0
40,50081,74966,583,89,1,9.42,12,0.44,3,0,2,1,0,1,1,0
34,33248,247394,305,109,4,19.17,48,0.43,0,3,0,0,0,2,1,1
29,140880,164772,567,111,3,7.91,12,0.48,0,2,2,0,1,2,0,1
55,99996,230370,569,14,1,16.62,36,0.66,1,0,1,1,1,0,0,0
44,80374,247990,752,116,3,24.7,12,0.85,0,2,2,0,1,3,1,0
46,17381,134979,452,74,1,6.91,12,0.54,1,3,1,1,1,0,0,0
33,149569,218173,525,40,2,11.28,24,0.84,0,3,2,1,0,0,0,1
28,64682,28153,480,58,2,5.16,48,0.86,0,2,0,0,1,1,0,0
66,38085,119016,462,101,4,11.34,60,0.74,0,1,1,0,1,1,1,0
66,66160,66017,434,70,2,6.81,12,0.84,3,0,0,1,0,3,1,0
42,116085,163303,348,51,4,24.54,24,0.22,1,3,0,1,1,1,0,0
66,144002,138306,688,102,1,20.71,24,0.18,1,0,2,1,1,1,0,0
63,110306,99571,690,88,4,21.4,24,0.26,3,0,0,1,0,2,1,0
53,82482,82891,562,113,2,6.2,24,0.39,1,2,0,0,1,0,1,0
61,89827,93067,612,35,3,21.82,48,0.21,3,0,2,1,0,0,0,0
24,119121,61981,814,69,4,13.06,36,0.42,1,2,1,0,0,1,0,0
29,31032,118468,744,68,3,13.26,36,0.45,1,2,0,0,1,3,1,0
50,60144,46421,748,87,2,17.11,24,0.57,1,0,2,1,0,2,1,0
52,138169,11685,470,0,3,20.14,60,0.52,1,3,2,1,0,4,1,0
41,44181,182326,718,108,4,9.89,48,0.64,0,2,1,1,1,1,0,0
46,22219,150872,673,58,2,6.65,24,0.8,1,3,2,0,0,1,0,1
63,37619,25483,541,116,2,15.02,24,0.36,3,2,2,0,0,4,1,0
34,140751,226839,452,117,2,8.24,60,0.35,0,2,2,0,0,2,1,0
38,146213,84637,557,84,2,19.0,60,0.71,3,3,1,0,1,1,1,1
43,53577,213228,754,96,3,9.04,12,0.1,0,1,0,1,1,3,0,0
51,132186,232742,330,32,2,13.05,24,0.28,0,2,0,1,0,4,1,0
46,102699,221265,467,6,4,6.13,60,0.47,3,1,2,1,0,1,1,0
18,91773,217601,504,43,4,23.73,60,0.76,2,3,0,1,0,1,1,0
31,57674,139804,431,54,4,10.68,24,0.45,3,3,1,1,1,2,0,0
30,22591,97588,619,35,2,20.73,12,0.24,2,2,2,0,0,0,0,0
69,111554,237897,494,8,1,8.89,24,0.56,0,3,1,1,0,3,0,0
58,133313,120619,679,76,1,9.95,24,0.21,0,1,2,0,1,1,0,0
23,88534,33406,338,3,3,9.17,12,0.63,2,1,0,1,0,0,1,1
23,114964,141047,783,75,2,16.63,36,0.25,3,2,1,1,1,3,0,0
63,116307,26490,839,92,1,3.91,12,0.21,3,3,0,0,1,0,0,0
38,138631,235408,642,8,2,20.5,24,0.72,0,3,2,0,0,0,1,0
49,83158,160155,789,39,4,2.51,60,0.51,3,0,2,0,0,4,1,0
59,64097,155766,468,52,4,3.87,60,0.68,1,1,1,1,1,2,1,0
60,47947,182659,616,82,3,10.02,24,0.52,2,0,2,0,1,3,1,0
26,140491,106884,389,5,2,11.24,60,0.54,2,2,1,1,1,3,1,0
26,65591,65147,752,113,2,8.27,12,0.33,1,1,0,0,0,0,1,0
24,97965,23983,548,83,4,12.17,24,0.73,2,0,2,1,0,3,0,0
18,105618,130509,404,10,3,4.21,12,0.84,0,0,2,1,0,2,0,0
55,130105,158117,451,63,4,16.46,12,0.32,2,2,1,0,1,4,1,0
50,43551,61743,322,56,1,5.84,48,0.62,3,2,1,0,1,3,0,0
24,128343,234084,843,63,1,7.23,36,0.54,2,3,2,1,1,3,1,0
37,86122,206275,820,53,1,16.67,36,0.36,0,1,2,0,0,0,1,0
55,143903,31672,731,116,2,19.22,60,0.41,1,1,2,1,0,2,0,1
52,17705,248057,397,102,2,19.38,60,0.34,1,2,0,0,1,1,0,0
23,61134,21315,495,52,1,6.05,48,0.12,0,3,2,0,1,4,1,0
38,77481,118023,787,95,3,7.81,60,0.33,2,0,1,0,0,4,0,0
43,74579,127551,701,81,2,18.25,48,0.83,2,1,0,1,1,2,0,0
51,58053,240739,516,50,3,16.53,12,0.36,3,1,2,1,0,0,0,0
63,86813,12876,834,38,1,6.82,48,0.44,0,2,1,0,0,0,1,0
52,113291,101825,815,21,3,24.44,36,0.23,2,3,0,1,1,2,1,0
36,103192,16708,674,52,3,13.02,12,0.54,0,0,1,1,0,3,0,0
49,105099,24610,511,57,4,11.05,36,0.69,2,0,0,1,1,2,0,0
35,34986,104350,606,75,4,20.29,36,0.83,2,1,0,0,1,2,0,0
61,59854,92665,600,11,4,17.82,36,0.8,2,3,2,1,1,3,0,0
24,37059,52602,634,102,2,18.02,48,0.29,0,3,2,0,1,0,1,1
37,59038,69906,446,24,3,24.3,60,0.86,0,3,2,0,1,2,0,0
46,27649,137654,466,70,3,14.22,60,0.21,2,3,1,0,0,3,0,0
41,55202,91774,788,78,2,14.39,60,0.73,1,2,0,0,0,0,1,0
50,40598,81907,473,29,3,18.84,36,0.22,0,1,0,0,1,2,0,1
55,72605,85198,524,87,2,23.71,24,0.39,1,3,1,1,0,0,1,0
30,33985,228896,592,86,4,4.85,48,0.6,0,3,0,1,1,1,0,0
62,92208,118631,498,79,4,18.67,48,0.52,2,0,1,1,0,0,0,0
39,102680,237762,473,87,4,10.18,36,0.65,2,1,1,0,0,1,1,0
25,32369,232657,694,39,2,15.48,36,0.87,0,1,2,0,0,2,0,0
63,103453,165419,376,65,2,8.57,48,0.37,0,1,2,1,0,1,1,0
66,100809,97355,354,37,2,22.35,60,0.54,0,1,1,1,1,1,1,0
48,29409,111260,847,21,1,12.74,60,0.88,1,3,0,0,1,0,0,0
24,117442,210539,722,75,4,24.21,60,0.56,1,0,1,0,0,0,1,0
34,76121,73528,551,38,1,3.8,12,0.86,0,1,1,1,0,3,1,0
24,128921,216045,404,3,3,16.12,12,0.69,1,1,1,1,0,0,0,0
23,115304,224847,430,119,1,23.04,12,0.16,2,1,0,0,0,1,1,1
29,143310,9255,535,36,3,23.3,36,0.75,3,3,2,1,0,3,0,1
33,112970,20796,608,47,1,21.15,48,0.69,0,2,2,1,1,2,0,0
47,64083,168891,747,17,3,2.71,48,0.87,1,1,1,0,1,4,0,0
52,116005,191138,615,104,3,11.66,60,0.84,1,2,0,1,0,3,0,0
42,50661,31845,708,38,2,5.5,24,0.62,1,3,0,1,1,3,1,0
45,63110,129729,656,24,3,2.85,12,0.52,1,0,1,1,0,1,0,0
35,64809,34647,696,44,3,6.77,48,0.81,0,2,2,0,1,2,0,0
43,36501,242325,626,43,1,18.47,48,0.62,1,0,0,1,1,0,0,0
35,39244,245860,494,96,4,21.06,12,0.2,1,3,0,1,0,3,0,0
61,148164,32227,649,19,2,11.69,12,0.83,0,0,1,0,1,1,0,0
54,118427,16046,723,78,4,2.97,36,0.81,1,0,0,0,1,3,1,0
64,93561,80649,770,77,2,13.84,36,0.28,2,3,1,0,1,3,1,0
58,29307,45848,667,44,4,10.01,36,0.84,2,3,0,1,1,0,1,0
54,115141,193500,708,109,1,8.48,24,0.69,0,3,1,1,0,3,1,0
27,28066,172382,585,32,4,13.55,24,0.77,0,3,0,0,0,4,0,1
34,30978,75426,322,25,3,21.93,36,0.27,1,3,1,0,1,2,1,0
40,144750,129945,379,34,2,15.37,48,0.2,3,3,1,1,1,1,0,0
40,133311,110333,657,72,1,6.75,36,0.69,2,2,2,1,0,3,1,0
29,94524,139676,693,7,1,4.89,12,0.74,2,1,1,1,0,1,0,0
62,58120,133446,449,80,2,8.39,48,0.74,1,3,1,1,0,4,0,0
33,70322,88247,639,106,1,22.07,36,0.13,2,1,0,0,1,1,1,0
18,56474,58227,527,74,1,9.52,36,0.66,3,1,0,0,0,4,1,1
62,76672,174433,573,114,1,12.06,36,0.6,2,0,1,1,0,2,0,0
44,133551,11790,474,56,3,10.78,60,0.13,0,3,0,1,0,4,1,0
63,42506,128599,701,91,1,23.81,60,0.84,1,1,1,0,1,0,1,0
39,97247,211214,468,7,2,18.93,24,0.6,3,2,2,0,1,0,1,0
24,55963,11279,645,77,4,7.72,60,0.71,0,3,0,0,0,2,1,0
44,20125,38899,534,29,4,2.21,48,0.61,3,3,0,0,0,0,0,0
67,137816,30373,551,61,1,4.34,12,0.67,0,3,0,1,0,4,1,0
21,125342,83606,820,61,4,13.02,24,0.25,3,0,0,1,1,0,1,0
26,148622,55364,698,2,4,2.09,24,0.63,0,0,2,0,1,4,1,0
35,30981,34026,823,13,2,24.0,24,0.67,3,0,0,1,0,4,1,1
39,60703,173110,424,53,4,19.51,12,0.8,3,1,2,0,0,4,1,1
55,56684,158826,542,39,2,3.39,12,0.15,3,2,2,1,1,1,0,0
41,93091,146377,322,48,2,8.52,24,0.28,3,1,0,0,1,2,0,0
34,112123,138385,568,13,4,2.0,12,0.46,2,1,2,1,0,4,0,0
61,137014,234246,543,83,2,13.89,12,0.8,1,3,1,0,1,1,0,0
58,118001,158593,597,72,2,12.59,48,0.65,3,3,2,0,0,4,0,0
52,69458,149854,352,39,2,6.84,24,0.89,1,0,0,0,1,1,0,0
67,106092,247140,395,117,4,23.07,12,0.78,1,3,2,0,0,1,1,0
26,37348,199572,757,83,3,6.8,12,0.7,3,1,1,0,1,0,1,0
25,67081,230838,727,53,2,9.11,36,0.32,0,0,1,0,0,1,0,0
41,45765,135650,691,96,2,15.64,24,0.22,0,3,0,0,1,0,1,0
41,119371,121963,388,79,3,12.82,24,0.66,0,2,2,0,1,4,1,0
18,124898,218869,691,99,4,4.6,24,0.13,1,1,0,1,0,3,1,0
30,135173,213103,831,30,3,20.63,12,0.42,2,1,1,1,1,3,0,1
55,39520,138194,832,2,1,2.28,24,0.12,3,0,0,1,0,1,1,0
38,36990,38124,764,2,2,15.18,24,0.13,0,3,1,1,0,4,0,0
66,86491,103796,347,12,1,20.34,60,0.89,0,2,0,1,1,2,1,0
39,36845,247263,301,26,2,22.08,24,0.21,1,0,1,1,0,3,1,0
62,43016,20722,801,35,1,18.18,60,0.73,2,2,2,0,1,1,0,0
26,43761,172134,522,103,1,10.36,48,0.45,2,3,1,0,0,0,0,0
50,123895,70953,710,35,3,18.9,12,0.43,2,2,1,1,0,1,0,0
32,70267,154637,749,83,4,3.57,24,0.59,1,0,1,0,1,0,0,0
32,79511,126239,310,80,1,22.93,36,0.74,3,3,2,0,1,0,1,0
49,52116,56003,544,103,3,22.35,36,0.52,2,1,0,1,1,0,1,0
27,55450,10221,780,30,2,14.24,12,0.68,1,3,2,0,0,2,0,1
69,108884,152280,422,115,4,12.5,36,0.9,1,0,1,1,1,0,0,0
69,15549,58032,322,19,4,5.24,12,0.45,0,3,0,1,1,0,1,0
28,135583,20591,602,10,4,13.29,24,0.43,3,2,1,0,0,0,0,0
48,54562,70025,315,0,4,11.95,24,0.24,2,0,0,0,0,1,0,0
53,103720,65373,840,90,3,16.6,12,0.63,2,0,0,1,0,0,1,0
39,46222,139697,841,117,2,12.8,36,0.88,0,3,1,0,1,3,0,0
25,53804,62926,573,81,3,11.54,12,0.28,3,2,1,1,1,1,1,0
22,27131,222287,840,75,2,18.92,12,0.33,0,0,0,1,0,3,1,1
32,135153,25118,685,70,3,18.94,60,0.73,1,1,2,0,0,2,0,0
21,25717,137702,810,7,4,9.05,24,0.52,1,1,1,0,0,3,0,0
65,54219,119618,590,37,1,7.32,12,0.55,2,1,2,1,0,2,0,0
40,28785,21273,601,74,3,2.36,48,0.24,1,2,2,1,0,2,1,1
36,23322,166968,439,64,3,9.34,48,0.1,0,2,1,0,1,4,1,0
62,65673,210118,410,46,2,13.28,12,0.15,3,2,1,1,0,0,1,0
22,134351,16801,680,115,2,11.18,24,0.74,3,1,1,0,0,2,0,0
47,39720,148377,790,64,4,7.37,36,0.77,2,0,0,1,0,1,1,0
25,66758,76372,516,109,1,15.47,24,0.54,0,1,1,1,1,3,1,0
40,125826,53952,809,87,2,10.32,12,0.39,1,0,0,0,0,4,0,0
28,56610,36530,373,54,3,8.5,12,0.74,1,2,2,1,0,3,1,0
48,138818,229916,626,0,1,18.04,12,0.25,3,0,2,0,1,1,1,0
45,67713,213071,611,104,2,13.27,48,0.19,0,0,1,1,0,0,0,0
18,46803,14407,367,21,3,14.5,60,0.28,3,3,2,0,0,2,0,1
31,60283,168331,692,55,4,8.14,48,0.69,3,2,1,0,0,2,0,0
57,61202,241318,519,87,4,7.9,60,0.69,3,3,2,0,1,0,1,0
18,111913,187622,432,19,3,10.14,12,0.46,3,1,1,0,0,4,0,1
24,119900,49283,460,113,1,21.2,36,0.73,2,3,2,1,0,0,0,0
49,139708,143658,380,38,2,11.47,48,0.84,3,0,1,1,1,1,1,0
52,67785,82432,400,16,4,2.23,48,0.4,1,3,0,0,0,3,0,0
48,116053,247018,467,63,3,19.07,48,0.23,1,2,0,0,0,2,0,0
33,94840,97722,504,100,4,8.35,48,0.64,3,2,0,1,0,3,0,0
19,104893,182887,718,71,3,4.87,12,0.29,2,0,1,0,1,1,0,0
47,55447,19266,584,93,2,9.79,36,0.34,0,2,2,1,0,2,1,0
69,47006,79361,693,93,1,9.97,60,0.14,0,0,2,0,1,4,1,0
26,21908,249804,775,69,2,11.49,12,0.55,0,3,2,0,0,4,1,1
63,138641,50671,481,87,1,12.99,60,0.21,3,1,1,0,1,0,0,0
38,114681,19516,311,13,3,19.5,36,0.14,2,1,0,1,1,1,1,0
63,147295,153194,441,119,4,20.08,12,0.43,3,1,0,1,1,3,0,0
50,57673,90181,311,17,4,7.3,12,0.15,3,2,1,1,0,3,1,0
48,26573,174417,779,25,2,4.48,48,0.79,2,0,0,0,1,0,0,0
63,84096,209828,716,36,4,10.79,60,0.29,3,3,2,1,1,3,1,0
59,30532,155294,452,89,3,21.77,36,0.23,0,1,1,0,0,0,0,0
56,24547,8628,527,27,4,5.54,24,0.78,3,2,2,0,0,3,1,0
45,38747,210097,662,40,4,2.14,12,0.71,2,3,0,0,0,3,0,0
64,50080,146462,743,45,1,15.95,36,0.8,2,1,2,0,0,1,1,0
61,91166,33911,618,63,1,7.83,60,0.37,0,0,0,0,0,2,0,0
44,65104,141337,813,27,3,5.19,48,0.48,3,2,1,1,0,2,0,0
45,54978,34196,301,15,2,18.17,12,0.81,0,2,0,0,0,3,0,0
33,68400,24907,430,66,4,18.18,12,0.83,0,0,2,0,1,1,1,0
39,134002,17077,721,77,3,7.01,12,0.14,1,1,0,0,0,4,0,0
22,92886,79358,418,69,4,6.71,24,0.5,3,0,1,0,0,3,0,0
48,61570,219761,624,80,1,21.25,24,0.86,2,2,1,1,0,1,1,0
25,28063,75386,716,1,4,10.27,48,0.56,0,0,0,1,0,0,1,0
26,61002,143932,334,47,2,14.27,48,0.65,0,2,1,0,0,3,1,0
62,15711,78125,423,38,3,23.6,60,0.32,1,0,1,0,1,2,1,0
57,122973,158873,646,95,1,9.69,36,0.86,1,2,1,0,0,0,1,0
52,131317,73827,836,46,4,20.47,48,0.89,1,2,1,0,0,4,0,0
27,131644,50494,307,69,4,4.19,24,0.5,2,3,0,0,0,0,1,0
58,17007,63323,417,100,2,13.05,12,0.81,3,2,0,1,1,2,0,0
24,132825,171401,326,3,4,5.49,12,0.54,2,0,0,0,0,2,0,0
45,50029,147571,609,25,3,9.97,60,0.45,0,2,2,0,0,4,1,1
36,35509,175687,372,77,4,4.04,24,0.21,2,1,0,0,0,0,1,0
30,51823,212861,741,48,4,4.05,12,0.54,0,2,1,0,0,0,0,0
59,18158,73386,342,58,4,6.11,12,0.41,1,0,1,1,1,3,0,0
31,52003,116063,640,119,1,19.21,60,0.71,0,0,2,1,0,4,0,1
41,114281,121038,840,47,3,17.65,60,0.78,3,0,0,1,1,4,1,0
51,16348,36316,677,84,3,7.26,60,0.72,1,1,1,1,1,1,0,1
33,53598,136102,380,2,3,12.83,60,0.36,2,0,1,0,0,2,0,0
46,33915,35449,607,16,4,5.29,60,0.6,1,1,1,1,1,3,1,0
56,61752,65876,484,100,2,4.94,24,0.13,3,2,1,1,1,0,0,1
28,84716,99529,393,41,1,23.18,60,0.39,0,2,1,0,0,1,1,0
58,68306,165768,589,110,3,18.31,36,0.65,1,2,2,0,0,2,1,0
29,129568,42079,345,10,1,4.15,48,0.5,0,2,1,0,1,4,0,0
63,135026,171817,333,16,4,15.54,60,0.72,2,0,2,1,0,0,0,0
60,57282,246508,786,57,4,12.25,12,0.6,0,0,0,1,0,0,0,0
18,103044,76887,804,75,4,8.36,12,0.35,0,1,2,0,1,1,1,0
50,70627,159224,350,55,2,7.18,48,0.42,2,3,2,0,0,4,1,0
22,124868,133921,509,84,4,19.38,12,0.6,3,3,0,0,0,3,1,0
20,88414,79275,333,54,2,21.94,36,0.55,2,1,1,0,0,2,0,0
47,48070,100542,596,3,4,3.05,36,0.31,2,2,0,0,0,3,0,0
61,35158,65289,605,21,4,2.34,12,0.57,2,1,0,0,0,4,1,0
63,143832,224648,404,26,2,4.6,12,0.28,1,0,2,0,0,0,0,0
61,20266,14503,742,96,2,5.22,60,0.18,1,1,1,1,1,3,1,0
68,120391,176554,760,1,2,14.92,36,0.2,1,2,0,1,0,0,1,0
30,145815,237655,496,75,2,9.56,12,0.36,2,1,1,0,1,2,0,0
68,84472,170832,610,22,2,6.49,36,0.53,1,3,0,0,1,4,0,0
56,121329,169962,568,21,3,10.82,12,0.6,3,2,0,1,1,4,0,0
67,42479,220773,409,31,1,18.76,24,0.52,3,2,1,1,1,4,0,0
42,31970,129102,380,115,3,20.97,36,0.84,2,0,2,1,1,4,1,0
53,25999,7931,733,26,4,19.41,12,0.37,1,2,0,1,0,4,1,0
46,103042,12939,816,53,3,11.31,60,0.7,0,0,0,0,1,2,0,0
54,115233,213784,408,92,2,20.14,48,0.53,1,1,0,0,1,3,1,0
19,71678,14712,747,13,4,23.9,24,0.19,1,2,1,0,0,3,0,0
28,104100,159772,823,97,4,11.71,36,0.48,0,1,2,1,1,0,0,0
62,143283,169983,661,105,2,2.07,60,0.63,0,2,0,1,1,4,0,0
50,82610,209761,384,55,3,18.64,36,0.58,0,2,0,1,1,3,1,0
45,79837,240313,727,108,3,17.55,48,0.74,1,3,2,0,0,2,1,0
38,69066,195184,349,3,3,2.83,36,0.53,2,2,1,0,1,0,0,0
27,23501,28441,597,36,4,2.1,36,0.59,1,1,0,1,0,4,1,1
31,98665,158099,669,100,2,12.63,48,0.42,2,1,1,0,1,1,0,0
61,52532,46395,719,12,1,16.79,60,0.51,2,0,1,1,0,3,1,0
48,112643,188881,648,54,3,6.37,60,0.62,2,1,2,0,0,3,1,0
34,82560,17946,328,23,3,4.11,60,0.76,1,2,2,1,0,4,0,0
68,40080,165255,336,35,4,21.91,36,0.56,0,0,1,0,1,3,1,0
51,142480,215508,517,81,2,20.13,12,0.88,0,0,2,1,1,1,0,0
34,15734,166768,838,25,2,15.55,48,0.72,3,1,2,0,1,1,0,0
19,143929,80366,716,62,4,8.5,12,0.33,1,0,0,1,0,3,0,0
28,57279,55281,459,107,4,17.1,36,0.61,2,1,0,1,1,2,1,0
46,70400,59304,428,8,3,21.51,60,0.12,1,2,0,0,1,0,1,0
69,67977,68404,607,88,3,16.2,12,0.35,0,3,0,1,0,2,1,0
40,18752,230524,418,81,4,6.15,12,0.76,3,3,1,0,0,3,1,0
25,65040,13728,617,19,4,18.26,48,0.8,0,1,1,1,0,2,0,0
36,22468,58993,436,48,2,16.44,24,0.51,1,1,2,0,1,2,0,0
42,48071,87742,676,27,2,11.01,48,0.65,3,0,1,0,0,3,0,0
65,50034,36723,574,18,4,5.98,48,0.23,0,0,0,0,0,3,0,0
52,19478,138049,494,92,2,16.07,60,0.45,1,3,2,0,0,0,1,0
56,106406,12366,401,29,2,17.91,48,0.28,2,0,1,0,0,2,0,0
67,48746,39593,624,58,1,4.77,36,0.33,0,1,2,1,1,4,0,0
20,35465,150242,788,98,3,18.7,60,0.53,2,2,0,1,0,2,1,0
42,75172,39009,357,81,2,2.63,60,0.49,1,3,1,0,0,2,0,0
49,128331,196875,643,57,1,20.1,48,0.31,2,2,1,0,0,2,0,0
30,38926,119894,436,47,3,23.15,60,0.88,3,2,1,0,1,3,1,0
38,36976,193729,641,53,3,12.89,36,0.52,0,0,2,1,1,1,1,0
29,84851,23552,443,51,1,18.75,48,0.81,0,2,1,1,0,4,0,0
55,94626,34936,677,53,3,9.62,12,0.82,3,3,0,1,0,0,0,0
29,64251,157041,304,100,3,16.23,36,0.77,1,0,2,1,1,3,0,0
35,75169,100856,705,114,2,5.19,24,0.42,0,2,1,1,0,4,0,0
31,102245,9086,571,29,1,14.94,24,0.23,2,2,0,0,1,2,0,0
42,106683,91378,435,57,3,24.04,36,0.53,3,3,0,1,1,3,0,0
24,137484,89053,767,53,1,7.06,36,0.58,3,1,2,0,0,4,1,0
26,31058,179700,463,40,1,18.07,36,0.69,1,0,0,0,0,1,1,0
24,79235,208589,574,53,2,18.27,36,0.33,0,3,0,0,0,4,0,0
